PF11414,"0.89411765337,0.101960785687,0.109803922474,1.0"
PF00514,"0.244444449743,0.558169941107,0.57777779301,1.0"
PF05972,"0.498039235671,0.432679752509,0.522875835498,1.0"
PF05923,"1.0,0.498039215803,0.0,1.0"
PF05924,"0.883660137653,0.779084970554,0.18562091887,1.0"
PF05956,"0.86274510622,0.449673225482,0.551633998752,1.0"
PF05937,"0.600000023842,0.600000023842,0.600000023842,1.0"
none,#D1D0CE
utr,white
